Hya,Hydra,11 36.73,-14 31.91
Vir,Virgo,13 24.39,-04 09.51
UMa,Ursa Major,11 18.76,+50 43.27
Cet,Cetus,01 40.10,-07 10.76
Her,Hercules,17 23.16,+27 29.93
#Eri,Eridanus,03 18.02,-28 45.37
Peg,Pegasus,22 41.84,+19 27.98
Dra,Draco,15 08.64,+67 00.40
#Cen,Centaurus,13 04.27,-47 20.72
Aqr,Aquarius,22 17.38,-10 47.35
Oph,Ophiuchus,17 23.69,-07 54.74
Leo,Leo,10 40.03,+13 08.32
Boo,Bootes,15 00.64,+31 12.16
Psc,Pisces,00 28.97,+13 41.23
Sgr,Sagittarius,19 35.94,-28 58.61
Cyg,Cygnus,20 25.28,+44 12.70
Tau,Taurus,04 42.13,+14 52.63
#Cam,Camelopardalis,08 51.37,+69 22.89
And,Andromeda,00 48.46,+37 25.91
#Pup,Puppis,07 15.48,-31 10.64
Aur,Auriga,06 04.42,+42 01.68
Aql,Aquila,19 40.02,+03 24.65
#Ser,Serpens,16 57.04,+06 07.32
Per,Perseus,03 10.50,+45 00.79
Cas,Cassiopeia,01 19.16,+62 11.04
Ori,Orion,05 34.59,+05 56.94
Cep,Cepheus,02 32.64,+71 00.51
#Lyn,Lynx,07 59.53,+47 28.00
Lib,Libra,15 11.96,-15 14.08
Gem,Gemini,07 04.24,+22 36.01
Cnc,Cancer,08 38.96,+19 48.35
#Vel,Vela,09 34.64,-47 10.03
Sco,Scorpius,16 58.24,-27 01.89
#Car,Carina,08 41.70,-63 13.16
#Mon,Monoceros,07 03.63,+00 16.93
#Scl,Sculptor,00 26.28,-32 05.30
#Phe,Phoenix,00 55.91,-48 34.84
#CVn,Canes Venatici,13 06.96,+40 06.11
Ari,Aries,02 38.16,+20 47.54
#Cap,Capricornus,21 02.93,-18 01.39
#For,Fornax,02 47.88,-31 38.07
#Com,Coma Berenices,12 47.27,+23 18.34
CMa,Canis Major,06 49.74,-22 08.42
#Pav,Pavo,19 36.71,-65 46.89
#Gru,Grus,22 27.39,-46 21.11
#Lup,Lupus,15 13.21,-42 42.53
#Sex,Sextans,10 16.29,-02 36.88
#Tuc,Tucana,23 46.64,-65 49.80
#Ind,Indus,21 58.33,-59 42.40
#Oct,Octans,23 00.00,-82 09.12
#Lep,Lepus,05 33.95,-19 02.78
Lyr,Lyra,18 20.17,+38 41.36
#Crt,Crater,11 23.75,-15 55.74
#Col,Columba,05 51.76,-35 05.67
#Vul,Vulpecula,20 13.88,+24 26.56
UMi,Ursa Minor,15 00.00,+77 41.99
#Tel,Telescopium,19 19.54,-51 02.21
#Hor,Horologium,03 16.56,-53 20.18
#Pic,Pictor,05 42.46,-53 28.45
#PsA,Piscis Austrinus,22 17.07,-30 38.53
#Hyi,Hydrus,02 20.65,-69 57.39
#Ant,Antlia,10 16.43,-32 29.01
#Ara,Ara,17 22.49,-56 35.30
#LMi,Leo Minor,10 14.72,+32 08.08
#Pyx,Pyxis,08 57.16,-27 21.10
#Mic,Microscopium,20 57.88,-36 16.49
#Aps,Apus,16 08.65,-75 18.00
#Lac,Lacerta,22 27.68,+46 02.51
#Del,Delphinus,20 41.61,+11 40.26
#Crv,Corvus,12 26.52,-18 26.20
CMi,Canis Minor,07 39.17,+06 25.63
#Dor,Dorado,05 14.51,-59 23.22
#CrB,Corona Borealis,15 50.59,+32 37.49
#Nor,Norma,15 54.18,-51 21.09
#Men,Mensa,05 24.90,-77 30.24
#Vol,Volans,07 47.73,-69 48.07
#Mus,Musca,12 35.28,-70 09.66
Tri,Triangulum,02 11.07,+31 28.56
#Cha,Chamaeleon,10 41.53,-79 12.30
#CrA,Corona Australis,18 38.79,-41 08.85
#Cae,Caelum,04 42.27,-37 52.90
#Ret,Reticulum,03 55.27,-59 59.85
#TrA,Triangulum Australe,16 04.95,-65 23.28
#Sct,Scutum,18 40.39,-09 53.32
#Cir,Circinus,14 34.54,-63 01.82
#Sge,Sagitta,19 39.05,+18 51.68
#Equ,Equuleus,21 11.26,+07 45.49
#Cru,Crux,12 26.99,-60 11.19
